date,description,amount,type
01/30/2024,Zelle Payment To Alfonso 19716869679,200.00,debit
01/30/2024,Zelle Payment To Alfonso 19716869679,200.00,debit
01/30/2024,01/30 Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De,824.05,debit
01/30/2024,01/30 Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De,824.05,debit
01/30/2024,01/30 Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De,824.05,debit
01/30/2024,01/30 Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De,824.05,debit
01/04/2024,Service Charges For The Month of December,110.00,debit
01/04/2024,Service Charges For The Month of December,110.00,debit
01/02/2024,"$29,515.72 01/12","16,733.48",debit
01/02/2024,"$29,515.72 01/12","16,733.48",debit
01/02/2024,"$29,515.72 01/12","16,733.48",debit
01/02/2024,"$29,515.72 01/12 16,733.48 01/24","20,304.32",debit
01/03/2024,"30,649.92 01/16","11,733.48",debit
01/03/2024,"30,649.92 01/16","11,733.48",debit
01/03/2024,"30,649.92 01/16","11,733.48",debit
01/03/2024,"30,649.92 01/16 11,733.48 01/25","21,304.32",debit
01/04/2024,"31,262.58 01/18","8,538.49",debit
01/04/2024,"31,262.58 01/18","8,538.49",debit
01/04/2024,"31,262.58 01/18","8,538.49",debit
01/04/2024,"31,262.58 01/18 8,538.49 01/26","45,068.18",debit
01/05/2024,"13,474.36 01/19","10,388.34",debit
01/05/2024,"13,474.36 01/19","10,388.34",debit
01/05/2024,"13,474.36 01/19","10,388.34",debit
01/05/2024,"13,474.36 01/19 10,388.34 01/29","44,393.18",debit
01/09/2024,"23,871.06 01/22","12,083.58",debit
01/09/2024,"23,871.06 01/22","12,083.58",debit
01/09/2024,"23,871.06 01/22","12,083.58",debit
01/09/2024,"23,871.06 01/22 12,083.58 01/30","51,519.13",debit
01/10/2024,"24,371.06 01/23","22,604.32",debit
01/10/2024,"24,371.06 01/23","22,604.32",debit
01/10/2024,"24,371.06 01/23","22,604.32",debit
01/10/2024,"24,371.06 01/23 22,604.32 01/31","51,894.13",debit
