date,description,amount
03/25/2024,"Fedwire Credit Via: Popular Bank/026008811 B/O: Tech Cargo LLC Doral, FL 33126-1014",25000.00
03/25/2024,"Fedwire Credit Via: First Horizon Bank/084000026 B/O: Caribe Cargo S R L LA Esperilla,DR 10106",9427.00
03/25/2024,"Orig CO Name:Pah Distributors Orig ID:S941687665 Desc Date:240325 CO Entry Descr:Sender Sec:CTX",4567.62
03/26/2024,"Chips Credit Via: Hsbc Bank USA, N.A./0108 B/O: Ap Canada Fund 1 Inc. Toronto,On,M4S 3H8 CA",76063.06
03/26/2024,"Orig CO Name:Supricom, LLC Orig ID:S941687665 Desc Date:240326 CO Entry Descr:Sender Sec:CTX",5125.00
03/29/2024,"Orig CO Name:Global Orion LLC Orig ID:9200502235 Desc Date:240329 CO Entry Descr:ACH Pmt Sec:CCD",4830.00
03/29/2024,"Orig CO Name:Wepay Orig ID:5551232356 Desc Date:240329 CO Entry Descr:Payments Sec:CCD",2500.08
04/02/2024,"Zelle Payment From Tu Paquetico, Corp. 20343719272",550.00
04/03/2024,"Real Time Transfer Recd From Aba/Contr Bnk-021000021 From: Bnf-Og Design Via Wise",12000.00
04/03/2024,"Orig CO Name:Wepay Orig ID:5551232356 Desc Date:240403 CO Entry Descr:Payments Sec:CCD",2500.08
04/04/2024,"Orig CO Name:Global Orion LLC Orig ID:9024218048 Desc Date:240404 CO Entry Descr:ACH Pmt Sec:CCD",11270.00
04/04/2024,"Orig CO Name:Novact Corporati Orig ID:9200502235 Desc Date:240404 CO Entry Descr:ACH Pmt Sec:CCD",1211.12
04/09/2024,"Orig CO Name:Wepay Orig ID:5551232356 Desc Date:240409 CO Entry Descr:Payments Sec:CCD",252.06
04/10/2024,"Orig CO Name:Global Cargo And Orig ID:0831118696 Desc Date: CO Entry Descr:ACH Creditsec:CCD",4900.00
04/12/2024,"Real Time Transfer Recd From Aba/021000021 From: Global Orion LLC",5350.00
04/12/2024,"Orig CO Name:K Export LLC Orig ID:7462673576 Desc Date:240411 CO Entry Descr:CCD Pymt Sec:CCD",9202.36
04/12/2024,"Orig CO Name:Pah Distributors Orig ID:S941687665 Desc Date:240412 CO Entry Descr:Sender Sec:CTX",5667.13
04/12/2024,"Orig CO Name:Supricom, LLC Orig ID:S941687665 Desc Date:240412 CO Entry Descr:Sender Sec:CTX",5125.00
04/15/2024,"Fedwire Credit Via: Santander Bank, N.A./231372691 B/O: Novutech, LLC US",3059.00
04/15/2024,"Chips Credit Via: Bank of America, N.A./0959 B/O: Sanael LLC Dba Central Trading",1040.00
04/16/2024,"Zelle Payment From Gd Group Supply Corp Bacixnekt76O",2075.00
04/17/2024,"Orig CO Name:Pah Distributors Orig ID:S941687665 Desc Date:240417 CO Entry Descr:Sender Sec:CTX",17694.41
04/18/2024,"Real Time Transfer Recd From Aba/021000021 From: Global Orion LLC",6470.00
04/18/2024,"Zelle Payment From Abismo CA Ff 2Jn0Ilogbj41",4915.00
04/18/2024,"Zelle Payment From Aroa Trade LLC Baciuetrc4Gd",542.17
04/19/2024,"Zelle Payment From Global Cargo And Travel LLC Bbt229167101",2000.00
04/19/2024,"Zelle Payment From Tu Paquetico, Corp. 20517472022",500.00
04/22/2024,"Fedwire Credit Via: Bank of America, N.A./026009593 B/O: C-Post International N.V.",19011.05
04/22/2024,"Zelle Payment From Luis Gonzalez Villalobos Bacpy2Ybycok",2814.00
04/22/2024,"Zelle Payment From Mercado Panaderia Y Carniceria Lg Bacydry9Hr0O",2000.00
04/24/2024,"Orig CO Name:Supricom, LLC Orig ID:S941687665 Desc Date:240424 CO Entry Descr:Sender Sec:CTX",5340.00
04/24/2024,"Zelle Payment From Maydebis Bernal Pncaa0Kdz12J",100.00
04/25/2024,"Zelle Payment From Adriana Carracedo 20574868288",607.00
04/25/2024,"Zelle Payment From Reliable Consulting Services LLC Wfct0S6D58H8",500.00
04/29/2024,"Book Transfer Credit B/O: Import Lcr Invesments LLC Hialeah FL 33015-5553 US",13807.00
04/29/2024,"Book Transfer Credit B/O: Banco De Credito Del Peru - Lima Lima Peru 15026- Pe",6807.00
04/29/2024,"Fedwire Credit Via: Wells Fargo Bank, N.A./121000248 B/O: Capi Logistic Corp Doral FL 33178",4446.28
04/29/2024,"Book Transfer Credit B/O: Banco General, S.A. - New Nostro Panama Panama 0816--0084 PA",1995.00
04/29/2024,"Zelle Payment From Medical Instrument Supplier LLC 20612889390",1887.00
05/01/2024,Zelle Payment From Gmq Tops LLC Bbt231275666,3216.00
05/02/2024,Zelle Payment From Fast Granite Corp Bacrg71T4Bxg,4657.00
05/02/2024,Zelle Payment From Fast Granite Corp Backotig7Wk9,1.00
05/03/2024,Orig CO Name:Supricom LLC Orig ID:S941687665 Desc Date:240503 CO Entry Descr:Sender Sec:CTX Trace#:113000023577037 Eed:240503 Ind ID:717336714 Ind Name:0000Tech Cargo LLC Trn: 1243577037Tc,5025.00
05/07/2024,Orig CO Name:Global Orion LLC Orig ID:9024218048 Desc Date:240507 CO Entry Descr:ACH Pmt Sec:CCD Trace#:021000028477416 Eed:240507 Ind ID:11130970709 Ind Name: Pago Bl 2205 Y 0218 Trn: 1288477416Tc,10800.00
05/08/2024,Chips Credit Via: Bank of America N.A./0959 B/O: Sanael LLC Dba Central Trading Aventura FL 33160 US Ref: Nbnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Org=/8980859964 80 Aventura FL 33160 US Ogb=/898 085996480 Aventura FL 33160-5378 Ob I=/Uri/15802 Ssn: 00479006 Trn: 0115333129Fc,725.00
05/09/2024,Zelle Payment From Medical Instrument Supplier LLC 20725000742,2589.05
05/10/2024,Orig CO Name:Pah Distributors Orig ID:S941687665 Desc Date:240510 CO Entry Descr:Sender Sec:CTX Trace#:113000029047363 Eed:240510 Ind ID:718494640 Ind Name:0000Tech Cargo LLC Trn: 1319047363Tc,12121.73
05/10/2024,Orig CO Name:Novact Corporati Orig ID:9200502235 Desc Date:240510 CO Entry Descr:ACH Pmt Sec:CCD Trace#:021000025363819 Eed:240510 Ind ID:11131191409 Ind Name:Tech Cargo 15669-15666 Trn: 1315363819Tc,1997.27
05/15/2024,Orig CO Name:Supricom LLC Orig ID:S941687665 Desc Date:240515 CO Entry Descr:Sender Sec:CTX Trace#:113000028260367 Eed:240515 Ind ID:719429568 Ind Name:0000Tech Cargo LLC Trn: 1368260367Tc,5040.00
05/15/2024,Orig CO Name:Global Orion LLC Orig ID:9200502235 Desc Date:240515 CO Entry Descr:ACH Pmt Sec:CCD Trace#:021000025590505 Eed:240515 Ind ID:11131722670 Ind Name:Tech Cargo LLC Pago Bl 6862 Trn: 1365590505Tc,4850.00
05/16/2024,Fedwire Credit Via: TD Bank NA/031101266 B/O: Active Logistic Solutions Corp Sunny Isles Beach FL 33160-4785 Ref: Chase Nyc/Ctr/Bnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Rf B=Notprovided Obi=Inv 15936 Bbi=/Oc MT/USD12246.31/Exch/0.0/ Imad: 0516Mmqfmpyq000682 Trn: 0243441137Ff,12246.31
05/20/2024,Orig CO Name:Wepay Orig ID:4693231001 Desc Date:240518 CO Entry Descr:Payments Sec:CCD Trace#:021000028396008 Eed:240520 Ind ID:28727652 Ind Name:Tech Cargo LLC Nte*Zzz*Payouts\ Trn: 1418396008Tc,5521.98
05/20/2024,Orig CO Name:Nicola Picone Orig ID:T941687665 Desc Date:240520 CO Entry Descr:Sender Sec:CIE Trace#:113000026798430 Eed:240520 Ind ID:Tech Cargo LLC Ind Name:720071930 Onlne Trnsfr88871070 Trn: 1416798430Tc,5275.00
05/20/2024,Zelle Payment From Distribuidora El Punto LLC Bacr03Vh9Izi,4779.00
05/21/2024,Zelle Payment From Pedro Guevara Gonzalez Bacuxchz74Ox,2325.00
05/21/2024,Zelle Payment From Gd Group Supply Corp Bacc8Looi5Iu,1992.74
05/22/2024,Fedwire Credit Via: Banesco USA/067015779 B/O: Automercados Nova C.A Porlamar Nueva Esparta 6301 Venezu Ref: Chase Nyc/Ctr/Bnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Rf B=O/B Banesco USA Imad: 0522Mmqfmpdi000056 Trn: 0196961143Ff,15000.00
05/22/2024,Chips Credit Via: Bank of America N.A./0959 B/O: Barco Estrella Internacional Corp Miami FL 33193 US Ref: Nbnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Org=/8981042731 23 Miami FL 33193 US Ogb=/898104 273123 Miami FL 33193-5221 Obi=/Uri/Pago Ssn: 00346711 Trn: 0086402143Fc,10428.00
05/22/2024,Orig CO Name:Global Cargo And Orig ID:0831118696 Desc Date: CO Entry Descr:ACH Creditsec:CCD Trace#:053101127726614 Eed:240522 Ind ID:5L916239J60878 Ind Name:Tech Cargo LLC Trn: 1437726614Tc,7800.00
05/22/2024,Zelle Payment From Raed Rahhal 2Jn0Imnghg2B,4000.00
05/22/2024,Zelle Payment From Raed Rahhal 2Jn0Imnghso6,1000.00
05/23/2024,Book Transfer Credit B/O: Banco Santander Sa Boadilla Del Monte Spain 28660 Es Org:/Es4000750103050623000662 Consignaciones Transitos Y Transpor Ogb: Banco Santander Sa Ciudad Grupo Santander Ref: 15448/Chgs/USD0./Chgs/USD42.00/Ocmt/USD1913.5/ Trn: 0210839143Fs,1871.50
05/23/2024,Chips Credit Via: The Bank of New York Mellon/0001 B/O: Transporte Internacional G Y L Spa Santiago Chile Ref: Nbnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Org=/770205999 Santiago Chile Ogb=Afex Agentes De Valores Limitada Santiago Chile 755 0143 Cl Obi=/Uri/Pago De Fact 15893 15698 15667 15919 Gl605 Ssn: 00522927 Trn: 0137451144Fc,1425.00
05/24/2024,Fedwire Credit Via: Standard Chartered Bank/026002561 B/O: 1/Four P L Sociedad Anonima 3/CR/San Jose Ref: Chase Nyc/Ctr/Bnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Rf B=Aut-S74158 Obi=Invoice 15947 Bbi=/Chgs/USD0.00/Chgs/USD25.00/Ocmt/US D2455.00/ Imad: 0524B1Q9282C004876 Trn: 0381021145Ff,2430.00
05/28/2024,Chips Credit Via: Bank of America N.A./0959 B/O: America Travel LLC Austin TX 78726 US Ref: Nbnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Org=/4831044669 63 Austin TX 78726 US Ogb=/48310 4466963 Austin TX 78726-2305 Obi=/U RI/Pago Planta Electrica Ssn: 00904248 Trn: 0219573149Fc,24771.00
05/28/2024,Orig CO Name:Global Orion LLC Orig ID:9200502235 Desc Date:240528 CO Entry Descr:ACH Pmt Sec:CCD Trace#:021000028251515 Eed:240528 Ind ID:11132819498 Ind Name:Tech Cargo LLC Pago Bl 5936 Y 0066 Trn: 1498251515Tc,10700.00
05/29/2024,Chips Credit Via: Hsbc Bank USA N.A./0108 B/O: Accelerated Payments (Canada) Inc. Toronto On M5X 1C9 CA Ref: Nbnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Org=/0002458928 5 Toronto On M5X 1C9 CA Ogb=Bank of Montreal Montreal H2Y1L6 Canada CA Obi=/Uri/Ref Fee Bbi=/Chgs/USD0.00/Chgs/USD10.00/Ocmt/USD570 Ssn: 00310775 Trn: 0078079150Fc,5690.55
05/29/2024,Book Transfer Credit B/O: Flori Cargo LLC Miami FL 33166-2732 US Trn: 3568344150Es,4560.00
05/29/2024,Zelle Payment From Cases Investment Inc 20918526288,2500.00
05/30/2024,Orig CO Name:Global Cargo And Orig ID:0831118696 Desc Date: CO Entry Descr:ACH Creditsec:CCD Trace#:053101122458482 Eed:240530 Ind ID:5Tb34005Pf3B35 Ind Name:Tech Cargo LLC Cont Auto 1 Trn: 1512458482Tc,3500.00
05/01/2024,Online International Wire Transfer A/C: Turkiye Cumhuriyeti Ziraat Bankasi Ankara Turkiye 00000- Tr Ref: Invoice Payment Trn: 3832764122Es,11657.00
05/02/2024,Orig CO Name:Authnet Gateway Orig ID:1870568569 Desc Date: CO Entry Descr:Billing Sec:CCD Trace#:104000019498409 Eed:240502 Ind ID:136157668 Ind Name:Tech Cargo LLC Trn: 1239498409Tc,10.00
05/03/2024,Online Domestic Wire Transfer A/C: Miiak LLC Miami Beach FL 33139-4318 US Ref: Inv 1076/Bnf/Inv 1076 Trn: 3702734124Es,1300.00
05/06/2024,Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Cma-Cgm Llsec:CCD Trace#:021214890301460 Eed:240506 Ind ID: Ind Name:Tech LLC Trn: 1270301460Tc,2250.00
05/06/2024,Online ACH Payment 11130896734 To Dolphinofficelease (_######6156),4437.14
05/07/2024,Zelle Payment To Ads Media Creation 20706811390,800.00
05/08/2024,Payment To Chase Card Ending IN 4301,4706.59
05/09/2024,Zelle Payment To Alfonso 20723546007,200.00
05/09/2024,Zelle Payment To Cas Media Pro Inc Jpm99Agsjzwa,300.00
05/15/2024,Online Domestic Wire Transfer Via: Bank of America N.A./0959 A/C: First State Bk & Tr CO Conway AR 72032-0729 US Ben: Concept Brokerage Inc Miami FL 33172 US Ref: Inv 160366/Bnf/Inv 160366 Ssn: 00517838 Trn: 3678304136Es,2681.31
05/17/2024,Online ACH Payment 11132181573 To Kingocean (_######2279),10756.00
05/17/2024,Online ACH Payment 11132192323 To Seaboard (_####3911),5925.00
05/20/2024,Payment To Chase Card Ending IN 4301,6704.21
05/21/2024,Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Viatrustlysec:CCD Trace#:021214895658299 Eed:240521 Ind ID: Ind Name:Tech LLC Trn: 1425658299Tc,15400.00
05/21/2024,Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Viatrustlysec:CCD Trace#:021214895658211 Eed:240521 Ind ID: Ind Name:Tech LLC Trn: 1425658211Tc,3850.00
05/21/2024,Zelle Payment To Jose Pastor Jpm99Ahf7Pjf,200.00
05/23/2024,Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Viatrustlysec:CCD Trace#:021214899078208 Eed:240523 Ind ID: Ind Name:Tech LLC Trn: 1449078208Tc,3350.00
05/23/2024,Online Domestic Wire Transfer Via: Citibank Nyc/021000089 A/C: Crowley Latin American Services Llcmiami FL 33178 US Ref: Soa/Bnf/Soa/Time/15:32 Imad: 0523Mmqfmp2K026796 Trn: 3488884144Es,33140.00
05/24/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De 197132107 US Org: 00000000792330778 Tech Cargo LLC Ben:/Fr7610207003292321540440970 Epsp Ref: Inv 24/062164 Invoice Payment/Ocmt/Eur4300.00/Exch/0.8947/Cntr/2145909 0/Acc/Inv 24/062164 Trn: 9495900145Re,4806.08
05/24/2024,Online Domestic Wire Transfer Via: Citibank Nyc/021000089 A/C: Crowley Latin American Services Llcmiami FL 33178 US Ref: Payment of Freight Invoices/Bnf/Payment of Freight Invoices/Time/14:28 Imad: 0524Mmqfmp2N027332 Trn: 3540404145Es,20525.00
05/29/2024,Online ACH Payment 11133139088 To Dac (_######5932),3422.00
05/29/2024,Online International Wire Transfer A/C: Bank of China Limited Head Office Beijing China 100818 Cn Ben:/478074071719 Taizhou Sutech Power Machinery CO Ref: Inv St-240320/Ref St-C300Gf Invoice Payment/Bnf/Taizhou Sutech Power M Achineryco.Ltd Trn: 3517634150Es,24990.00
05/29/2024,Online Domestic Wire Transfer Via: Bk Amer Nyc/026009593 A/C: Dhl Aero Expreso Sa Miami FL 33126 US Ref: Awb 992-00559300/Bnf/Awb 992-00559300 Imad: 0529Mmqfmp2N028348 Trn: 3518354150Es,713.23
05/29/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De 197132107 US Org: 00000000792330778 Tech Cargo LLC Ben:/Es7321004929102200325460 Carolina De LA Torre Morera Ref: Mayo 2024 Invoice Payment/Ocmt/Eur737.77/Exch/0.8980/Cntr/35238635/Acc/Mayo 2024 Trn: 8089100150Re,821.57
05/29/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De 197132107 US Org: 00000000792330778 Tech Cargo LLC Ben:/It67M0538766241000001259900 Atx International Srl Ref: Inv 651 Invoice Payment/Ocmt/Eur952.37/Exch/0.8980/Cntr/35546351/Acc/I NV 651 Trn: 8540100150Re,1060.55
05/31/2024,Online Domestic Wire Transfer Via: Bk Amer Nyc/026009593 A/C: Fabiana Lorena Rangel Palm Coast FL 32137 US Ref: Mayo 2024/Bnf/Mayo 2024 Imad: 0531Mmqfmp2L072384 Trn: 4099104152Es,850.00
05/31/2024,Online Domestic Wire Transfer A/C: Diarama Export Inc. Miami FL 33166-3309 US Ref: Inv 6925/Bnf/Inv 6925 Trn: 4102494152Es,150.00
07/01/2024,Book Transfer Credit B/O: Afex Agentes De Valores Limitada Santiago Chile 0000 - Cl Org:/770205999 Transporte Internacional G Y L Spa Ogb: Afex Agentes De Valores Limitada Burgos 80 Ref: Pago De Facturas 16113 15883 G L641Gl610/Ocmt/USD675./ Trn: 8920398183Fs,675.00
07/01/2024,Orig CO Name:Supricom LLC Orig ID:S941687665 Desc Date:240701 CO Entry Descr:Sender Sec:CTX Trace#:113000020061260 Eed:240701 Ind ID:728120050 Ind Name:0000Tech Cargo LLC Trn: 1830061260Tc,5204.00
