date,description,amount
03/25/2024,"Online Domestic Wire Transfer Via: Bank of America, N.A./0959 A/C: First State Bk & Tr",11554.53
03/25/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",15836.48
03/27/2024,"Online ACH Payment 11126866925 To Seaboard (_####3911)",13850.00
03/27/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",822.58
03/27/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",1672.99
03/28/2024,"Online Domestic Wire Transfer Via: Citibank Nyc/021000089 A/C: Crowley Latin American Services",30485.00
03/29/2024,"Orig CO Name:US Cbp Rd Ind Orig ID:7005009903 Desc Date:240328 CO Entry Descr:Payment Sec:CCD",203.00
04/01/2024,"Zelle Payment To Alfonso 20335290792",200.00
04/02/2024,"Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Cma-Cgm Llsec:CCD",7200.00
04/02/2024,"Orig CO Name:Authnet Gateway Orig ID:1870568569 Desc Date: CO Entry Descr:Billing Sec:CCD",8.71
04/03/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",5565.80
04/03/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",934.98
04/05/2024,"Zelle Payment To Concierge ME LLC Jpm99Af0Xwr6",599.00
04/09/2024,"Online ACH Payment 11128177114 To Seaboard (_####3911)",9150.00
04/09/2024,"Online ACH Payment 11128187833 To Hapaglloyd (_#####7862)",325.00
04/09/2024,"Online Domestic Wire Transfer Via: Citibank Nyc/021000089 A/C: Crowley Latin American Services",22225.00
04/09/2024,"Online Domestic Wire Transfer Via: Bmo Bank NA/071000288 A/C: Ap Trade Finance Inc",1248.00
04/09/2024,"Orig CO Name:United Healthcar Orig ID:1411289245 Desc Date: CO Entry Descr:EDI Paymtssec:CTX",3564.43
04/10/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",2212.88
04/10/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",3097.69
04/12/2024,"Zelle Payment To Victoria Mendiolaza 20445371343",45.00
04/16/2024,"Orig CO Name:Visa Orig ID:1465106539 Desc Date: CO Entry Descr:Payment Sec:Web",2000.00
04/17/2024,"Online Domestic Wire Transfer Via: Citibank Nyc/021000089 A/C: Crowley Latin American Services",21775.00
04/17/2024,"Online Domestic Wire Transfer Via: Bk Amer Nyc/026009593 A/C: Felix R Tovar Miami FL 33196 US",313.20
04/19/2024,"Payment To Chase Card Ending IN 4301",5729.67
04/22/2024,"Orig CO Name:Visa Orig ID:1465106539 Desc Date: CO Entry Descr:Payment Sec:Web",3000.00
04/22/2024,"Online ACH Payment 11129426846 To Wts (_#####6261)",10825.00
04/22/2024,"Online ACH Payment 11129427034 To Seaboard (_####3911)",11545.00
04/22/2024,"Online ACH Payment 11129424611 To Ausluisdeliveries (_########6357)",25760.00
04/26/2024,"Online Domestic Wire Transfer Via: Bank of America, N.A./0959 A/C: First State Bk & Tr",4908.14
04/26/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",812.97
04/29/2024,"Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Cma-Cgm Llsec:CCD",10550.00
04/29/2024,"Payment To Chase Card Ending IN 4301",7014.80
04/29/2024,"Online ACH Payment 11130099417 To Citioceaninternational (_#####3843)",4089.00
04/30/2024,"Zelle Payment To Arcadia Agency LLC Jpm99Agat9Lw",1340.00
04/30/2024,"Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De",33242.11
05/01/2024,Online International Wire Transfer A/C: Turkiye Cumhuriyeti Ziraat Bankasi Ankara Turkiye 00000- Tr Ref: Invoice Payment Trn: 3832764122Es,11657.00
05/02/2024,Orig CO Name:Authnet Gateway Orig ID:1870568569 Desc Date: CO Entry Descr:Billing Sec:CCD Trace#:104000019498409 Eed:240502 Ind ID:136157668 Ind Name:Tech Cargo LLC Trn: 1239498409Tc,10.00
05/03/2024,Online Domestic Wire Transfer A/C: Miiak LLC Miami Beach FL 33139-4318 US Ref: Inv 1076/Bnf/Inv 1076 Trn: 3702734124Es,1300.00
05/06/2024,Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Cma-Cgm Llsec:CCD Trace#:021214890301460 Eed:240506 Ind ID: Ind Name:Tech LLC Trn: 1270301460Tc,2250.00
05/06/2024,Online ACH Payment 11130896734 To Dolphinofficelease (_######6156),4437.14
05/07/2024,Zelle Payment To Ads Media Creation 20706811390,800.00
05/08/2024,Payment To Chase Card Ending IN 4301,4706.59
05/09/2024,Zelle Payment To Alfonso 20723546007,200.00
05/09/2024,Zelle Payment To Cas Media Pro Inc Jpm99Agsjzwa,300.00
05/15/2024,Online Domestic Wire Transfer Via: Bank of America N.A./0959 A/C: First State Bk & Tr CO Conway AR 72032-0729 US Ben: Concept Brokerage Inc Miami FL 33172 US Ref: Inv 160366/Bnf/Inv 160366 Ssn: 00517838 Trn: 3678304136Es,2681.31
05/17/2024,Online ACH Payment 11132181573 To Kingocean (_######2279),10756.00
05/17/2024,Online ACH Payment 11132192323 To Seaboard (_####3911),5925.00
05/20/2024,Payment To Chase Card Ending IN 4301,6704.21
05/21/2024,Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Viatrustlysec:CCD Trace#:021214895658299 Eed:240521 Ind ID: Ind Name:Tech LLC Trn: 1425658299Tc,15400.00
05/21/2024,Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Viatrustlysec:CCD Trace#:021214895658211 Eed:240521 Ind ID: Ind Name:Tech LLC Trn: 1425658211Tc,3850.00
05/21/2024,Zelle Payment To Jose Pastor Jpm99Ahf7Pjf,200.00
05/23/2024,Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Viatrustlysec:CCD Trace#:021214899078208 Eed:240523 Ind ID: Ind Name:Tech LLC Trn: 1449078208Tc,3350.00
05/23/2024,Online Domestic Wire Transfer Via: Citibank Nyc/021000089 A/C: Crowley Latin American Services Llcmiami FL 33178 US Ref: Soa/Bnf/Soa/Time/15:32 Imad: 0523Mmqfmp2K026796 Trn: 3488884144Es,33140.00
05/24/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De 197132107 US Org: 00000000792330778 Tech Cargo LLC Ben:/Fr7610207003292321540440970 Epsp Ref: Inv 24/062164 Invoice Payment/Ocmt/Eur4300.00/Exch/0.8947/Cntr/2145909 0/Acc/Inv 24/062164 Trn: 9495900145Re,4806.08
05/24/2024,Online Domestic Wire Transfer Via: Citibank Nyc/021000089 A/C: Crowley Latin American Services Llcmiami FL 33178 US Ref: Payment of Freight Invoices/Bnf/Payment of Freight Invoices/Time/14:28 Imad: 0524Mmqfmp2N027332 Trn: 3540404145Es,20525.00
05/29/2024,Online ACH Payment 11133139088 To Dac (_######5932),3422.00
05/29/2024,Online International Wire Transfer A/C: Bank of China Limited Head Office Beijing China 100818 Cn Ben:/478074071719 Taizhou Sutech Power Machinery CO Ref: Inv St-240320/Ref St-C300Gf Invoice Payment/Bnf/Taizhou Sutech Power M Achineryco.Ltd Trn: 3517634150Es,24990.00
05/29/2024,Online Domestic Wire Transfer Via: Bk Amer Nyc/026009593 A/C: Dhl Aero Expreso Sa Miami FL 33126 US Ref: Awb 992-00559300/Bnf/Awb 992-00559300 Imad: 0529Mmqfmp2N028348 Trn: 3518354150Es,713.23
05/29/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De 197132107 US Org: 00000000792330778 Tech Cargo LLC Ben:/Es7321004929102200325460 Carolina De LA Torre Morera Ref: Mayo 2024 Invoice Payment/Ocmt/Eur737.77/Exch/0.8980/Cntr/35238635/Acc/Mayo 2024 Trn: 8089100150Re,821.57
05/29/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De 197132107 US Org: 00000000792330778 Tech Cargo LLC Ben:/It67M0538766241000001259900 Atx International Srl Ref: Inv 651 Invoice Payment/Ocmt/Eur952.37/Exch/0.8980/Cntr/35546351/Acc/I NV 651 Trn: 8540100150Re,1060.55
05/31/2024,Online Domestic Wire Transfer Via: Bk Amer Nyc/026009593 A/C: Fabiana Lorena Rangel Palm Coast FL 32137 US Ref: Mayo 2024/Bnf/Mayo 2024 Imad: 0531Mmqfmp2L072384 Trn: 4099104152Es,850.00
05/31/2024,Online Domestic Wire Transfer A/C: Diarama Export Inc. Miami FL 33166-3309 US Ref: Inv 6925/Bnf/Inv 6925 Trn: 4102494152Es,150.00
06/03/2024,Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Viatrustlysec:CCD Trace#:021214899106560 Eed:240603 Ind ID: Ind Name:Tech LLC Trn: 1559106560Tc,11550.00
06/03/2024,Zelle Payment To Erick Chacin Jpm99Ai5A18N,346.00
06/03/2024,Zelle Payment To Manuel Salazar Jpm99Ai5Dbao,2250.00
06/04/2024,Orig CO Name:Authnet Gateway Orig ID:1870568569 Desc Date: CO Entry Descr:Billing Sec:CCD Trace#:104000019271078 Eed:240604 Ind ID:136612038 Ind Name:Tech Cargo LLC Trn: 1569271078Tc,10.00
06/04/2024,Online ACH Payment 11133828571 To Dolphinofficelease (_######6156),4437.14
06/04/2024,Online International Wire Transfer A/C: Turkiye Cumhuriyeti Ziraat Bankasi Ankara Turkiye 00000- Tr Ref: Bra2024000000127 Invoice Payment/Bnf/Bra2024000000127 Trn: 3516514156Es,3861.00
06/05/2024,Payment To Chase Card Ending IN 4301,5225.61
06/05/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De 197132107 US Org: 00000000792330778 Tech Cargo LLC Ben:/De56200691770000330035 Air Cargo Professionals Gmbh Ref: Freight Invoices Invoice Payment/Ocmt/Eur3304.46/Exch/0.8932/Cntr/4422 2290/Acc/Freight Invoices Trn: 5473400157Re,3699.57
06/06/2024,Online Domestic Wire Transfer A/C: Miiak LLC Miami Beach FL 33139-4318 US Ref: 1083/Bnf/1083 Trn: 3632744158Es,1300.00
06/07/2024,Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Viatrustlysec:CCD Trace#:021214899046769 Eed:240607 Ind ID: Ind Name:Tech LLC Trn: 1599046769Tc,3850.00
06/11/2024,Orig CO Name:US Cbp Rd Ind Orig ID:7005009903 Desc Date:240610 CO Entry Descr:Payment Sec:CCD Trace#:041036041733311 Eed:240611 Ind ID:0000 Ind Name:Tech Cargo LLC ACH Transaction Trn: 1631733311Tc,204.00
06/11/2024,Zelle Payment To Alfonso 21064322723,200.00
06/11/2024,Online Domestic Wire Transfer A/C: Diarama Export Inc. Miami FL 33166-3309 US Ref: Inv 6926/Bnf/Inv 6926 Trn: 3509334163Es,150.00
06/12/2024,Online Domestic Wire Transfer Via: Citibank Nyc/021000089 A/C: Seaboard Marine Ltd Miami FL 33166 US Ref: Smlu8090786/Bnf/Smlu8090786/Time/16:30 Imad: 0612Mmqfmp2L031886 Trn: 3557834164Es,3200.00
06/12/2024,Online Domestic Wire Transfer A/C: Evergreen Shipping Agency (America)Jersey City NJ 07302- US Ref: Eglv404440543762/Bnf/Eglv404440543762 Trn: 3561134164Es,70.00
06/13/2024,Online ACH Payment 11134961735 To Seaboard (_####3911),5650.00
06/13/2024,Online Domestic Wire Transfer Via: Regions Bk/062005690 A/C: OK Import And Export Corp Miami FL 33142 US Ref: Payment Freight Invoice 1402/Bnf/Payment Freight Invoice 1402/Time/16: 04 Imad: 0613Mmqfmp2L031488 Trn: 3550474165Es,4500.00
06/14/2024,Online Domestic Wire Transfer Via: Citibank Nyc/021000089 A/C: Crowley Latin American Services Llcmiami FL 33178 US Ref: Payment of Freight Invoices/Bnf/Payment of Freight Invoices/Time/16:00 Imad: 0614Mmqfmp2N033549 Trn: 3755374166Es,38736.00
06/17/2024,Orig CO Name:Cma-Cgm LLC Orig ID:1001570685 Desc Date: CO Entry Descr:Viatrustlysec:CCD Trace#:021214895132572 Eed:240617 Ind ID: Ind Name:Tech LLC Trn: 1695132572Tc,3350.00
06/18/2024,Online Domestic Wire Transfer A/C: Secured Finance Network Inc. Dba New York NY 10001-3979 US Ref: Inv 219043/Bnf/Inv 219043 Trn: 3591194170Es,3880.00
06/18/2024,Online Domestic Wire Transfer Via: Bank of America N.A./0959 A/C: First State Bk & Tr CO Conway AR 72032-0729 US Ben: Concept Brokerage Inc Miami FL 33172 US Ref: Soa/Bnf/Soa Ssn: 00460475 Trn: 3591784170Es,9403.82
06/18/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De 197132107 US Org: 00000000792330778 Tech Cargo LLC Ben:/Es8000810200270004089313 World Wine Cargo Alliance Sl Ref: Inv 24300111 Invoice Payment/Ocmt/Eur2040.00/Exch/0.9041/Cntr/94171493/Acc/Inv 24300111 Trn: 8409600170Re,2256.39
06/20/2024,Zelle Payment To Jesus Jpm99Aj0V3R3,300.00
06/20/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De 197132107 US Org: 00000000792330778 Tech Cargo LLC Ben:/De56200691770000330035 Air Cargo Professionals Gmbh Ref: Inv 6233 6232 Invoice Payment/Ocmt/Eur15857.40/Exch/0.9091/Cntr/94170 807/Acc/Inv 6233 6232 Trn: 3758500172Re,17442.97
06/21/2024,Online Domestic Wire Transfer Via: Regions Bk/062005690 A/C: OK Import And Export Corp Miami FL 33142 US Ref: Payment of Freigh Invoice 1431/Bnf/Payment of Freigh Invoice 1431/Time/16:07 Imad: 0621Mmqfmp2L033323 Trn: 3676354173Es,3000.00
06/24/2024,Payment To Chase Card Ending IN 4301,6762.52
06/25/2024,Online Domestic Wire Transfer Via: Bank of America N.A./0959 A/C: First State Bk & Tr CO Conway AR 72032-0729 US Ben: Concept Brokerage Inc Miami FL 33172 US Ref: Soa/Bnf/Soa Ssn: 00538399 Trn: 3575494177Es,2683.35
06/25/2024,Online International Wire Transfer A/C: Dutch Bangla Bank Limited Dhaka Bangladesh 1000 - Bd Ben:/1031510009189 Mohammad Rashedul Alam Ref: Payment of Invoice June2024 Invoicepayment/Bnf/Payment of Invoice June 2024 Trn: 3578644177Es,3000.00
06/27/2024,Online ACH Payment 11136427601 To Trustlvfamily (_#####8048),7062.75
06/28/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De 197132107 US Org: 00000000792330778 Tech Cargo LLC Ben:/Es7321004929102200325460 Carolina De LA Torre Morera Ref: Junio Invoice Payment/Ocmt/Eur737.77/Exch/0.9065/Cntr/22748288/Acc/Jun Io Trn: 6580100180Re,813.87
06/28/2024,Zelle Payment To Jesus Jpm99Ajfxyg3,1179.62
06/28/2024,Zelle Payment To Jose Pastor Jpm99Ajfyihp,270.00
07/01/2024,Online Domestic Wire Transfer Via: Bk Amer Nyc/026009593 A/C: Dhl Aero Expreso Sa Miami FL 33126 US Ref: Fe5665/Bnf/Fe5665 Imad: 0701Mmqfmp2N047007 Trn: 4249654183Es,1308.80
07/01/2024,Online Domestic Wire Transfer Via: Citibank Nyc/021000089 A/C: Crowley Latin American Services Llcmiami FL 33178 US Ref: Cwps4M070254/Bnf/Cwps4M070254/Time/15:52 Imad: 0701Mmqfmp2N047041 Trn: 4250854183Es,4105.00
07/01/2024,Online International Wire Transfer A/C: Abn Amro Bank N V Head Office Amsterdam Netherlands 1000 -Ea Nl Ref: M0292347 Invoice Payment/Bnf/M0292347 Trn: 4252684183Es,1450.00
07/01/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De 197132107 US Org: 00000000792330778 Tech Cargo LLC Ben:/Nl63Abna0426069501 Merzario Bv Ref: M0292184 M0292256 M0292362 Invoice Payment/Ocmt/Eur1020.00/Exch/0.90 41/Cntr/24832960/Acc/M0292184 M029 2256 M0292362 Trn: 4818000183Re,1128.19
07/02/2024,Orig CO Name:Authnet Gateway Orig ID:1870568569 Desc Date: CO Entry Descr:Billing Sec:CCD Trace#:104000015602301 Eed:240702 Ind ID:137047323 Ind Name:Tech Cargo LLC Trn: 1845602301Tc,10.00
07/02/2024,Orig CO Name:Paymentech Orig ID:1020401225 Desc Date:240702 CO Entry Descr:Fee Sec:CCD Trace#:021000027538022 Eed:240702 Ind ID:6742628 Ind Name:Tech Cargo LLC Trn: 1847538022Tc,22.38
07/03/2024,Online ACH Payment 11137173390 To Dolphinofficelease (_######6156),4461.62
07/03/2024,Online International Wire Transfer A/C: Foreign Cur Bus Acct Bk 1 Columbus Newark De 197132107 US Org: 00000000792330778 Tech Cargo LLC Ben:/Es9821003509062200048461 Tech Cargo Logistics Sl Ref: Invoice Payment/Ocmt/Eur525.00/Exch/0.9000/Cntr/59319905/ Trn: 8648400185Re,583.33
07/03/2024,Online Domestic Wire Transfer Via: Citicorp FL/266086554 A/C: OK Import And Export Corp Miami FL 33142 US Ref: Payment of Freight Invoice 1453/Bnf/Payment of Freight Invoice 1453 Imad: 0703Mmqfmp2M036893 Trn: 3769014185Es,6000.00
07/05/2024,Zelle Payment To Daniela Pulido Jpm99Ajsczwy,300.00
07/05/2024,Online ACH Payment 11137318329 To Seaboard (_####3911),10985.91
