Date,Description,Additions,Subtractions
12/11/2023,"Wire Transfer-in ATIMAR AUTO IMPORT ATIMAR AUTO IMPORT MR SRL 000000000000044",2203.00,
12/11/2023,"Check 2220 000007089878060",,250.00
12/12/2023,"Deposit 000007181426210",15109.00,
12/12/2023,"Preauthorized Wd JOHN HANCOCK MAN PAYMENT TRN*1*E25617745\ 028000081366050",,650.10
12/12/2023,"Preauthorized Wd MASS MUTUAL INS. PREMIUM 231212 021000026123802",,107.89
12/12/2023,"Preauthorized Wd ECUWORLDWIDE WEBPAYMENT 231212 091000013257758",,260.92
12/12/2023,"Online Domestic Wire KING OCEANFIFTH TH KING OCEAN 000000000000036",,41863.44
12/13/2023,"Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 14682-14683-1 4684-14691-14692-1 4733-14737-14749 021000020973059",52287.00,
12/13/2023,"Preauthorized Wd MAERSK A/S 4260001314 RMR*IK*DIRECT DEBI T PAYMENT CONFIRMA T\RMR*IK*IO\ 111000025186403",,40.00
12/13/2023,"Preauthorized Wd PAYCARGO ACHPAYMENT 231212 BATCH 5439849 081000602013366",,1913.50
12/14/2023,"Preauthorized Wd PAYCARGO ACHPAYMENT 231213 BATCH 5444557 081000603149067",,38.50
12/14/2023,"Preauthorized Wd TECH CARGO LLC ACH 231214 001304040000013",,2324.03
12/14/2023,"Preauthorized Wd TECH CARGO LLC ACH 231214 001304040000018",,6400.00
12/14/2023,"Online Domestic Wire JMY TRADE INTERNAT JMY TRADE INTERNAT IONAL 000000000000371",,3203.84
12/14/2023,"Online Intl Wire PALM LOGISTICS CO. PALM LOGISTICS CO. , LTD 000000000000370",,20650.00
12/14/2023,"Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMER ICAN SERVICES LLC 000000000000369",,32585.00
12/14/2023,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,29364.92
12/15/2023,"Preauthorized Credit SPACE PLUS USA L SENDER 231215 689805982 113000026407862",5399.23,
12/15/2023,"Deposit 000007181486250",92215.25,
12/15/2023,"Preauthorized Wd PAYCARGO ACHPAYMENT 231214 BATCH 5446054 081000604364982",,838.81
12/15/2023,"Preauthorized Wd TECH CARGO LLC ACH 231215 001722150000128",,46874.00
12/18/2023,"Wire Transfer-in IBDA ALQASR COBUYI IBDA ALQASR CO 000000000000071",2628.00,
12/18/2023,"Check 2223 000007090172570",,2550.30
12/19/2023,"Preauthorized Credit PAYCARGO ACHPAYMENT 231218 BATCH 5454579 081000607079365",142.48,
12/19/2023,"Preauthorized Wd ECUWORLDWIDE WEBPAYMENT 231219 091000016530743",,778.29
12/19/2023,"Preauthorized Wd PAYCARGO ACHPAYMENT 231218 BATCH 5454870 081000607078102",,1678.63
12/19/2023,"Preauthorized Wd TECH CARGO LLC ACH 231219 001719510000058",,1000.00
12/19/2023,"Preauthorized Wd TECH CARGO LLC ACH 231219 001719510000067",,1000.00
12/19/2023,"Preauthorized Wd TECH CARGO LLC ACH 231219 001719510000049",,2447.60
12/19/2023,"Preauthorized Wd TECH CARGO LLC ACH 231219 001719510000066",,2965.00
12/19/2023,"Preauthorized Wd TECH CARGO LLC ACH 231219 001719510000018",,10849.00
12/19/2023,"Online Domestic Wire JMY TRADE INTERNAT JMY TRADE INTERNAT IONAL 000000000000477",,1000.00
12/19/2023,"Online Domestic Wire SOUTHEASTERN INTER SOUTHEASTERN INTER NATIONAL GROUP LL 000000000000476",,1217.50
12/20/2023,"Preauthorized Wd MAERSK A/S 4340001522 231219 004340001522 111000022094920",,5730.00
12/20/2023,"Maintenance Fee ANALYSIS ACTIVITY FOR 11/23 000000000000000",,445.58
12/21/2023,"Preauthorized Credit PAYCARGO ACHPAYMENT 231220 BATCH 5463478 081000609341583",2000.50,
12/21/2023,"Deposit 000007181581260",70830.00,
12/21/2023,"Preauthorized Wd PAYCARGO ACHPAYMENT 231220 BATCH 5464966 081000609340390",,291.75
12/21/2023,"Preauthorized Wd TECH CARGO LLC ACH 231221 001706430000072",,47286.00
12/22/2023,"Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A SA 000000000000086",9094.24,
12/22/2023,"Preauthorized Wd PAYCARGO ACHPAYMENT 231221 BATCH 5467060 081000600561432",,243.50
12/22/2023,"Preauthorized Wd TECH CARGO LLC ACH 231222 001317250000007",,2060.50
12/22/2023,"Preauthorized Wd TECH CARGO LLC ACH 231222 001317250000015",,1342.50
12/22/2023,"Preauthorized Wd TECH CARGO LLC ACH 231222 001317250000009",,20080.00
12/22/2023,"Online Domestic Wire JMY TRADE INTERNAT JMY TRADE INTERNAT IONAL 000000000000445",,1359.91
12/22/2023,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,201.18
12/26/2023,"Preauthorized Wd PAYCARGO ACHPAYMENT 231222 BATCH 5471981 081000601712065",,1091.62
12/27/2023,"Preauthorized Wd MAERSK A/S 4280001356 RMR*IK*DIRECT DEBI T PAYMENT CONFIRMA T\RMR*IK*IO\ 111000021573798",,556.00
12/27/2023,"Preauthorized Wd CMA-CGM LLC CMA-CGM LL 231227 021214890540828",,16602.00
12/27/2023,"Online Intl Wire DOUBLE ACE CARGO P DOUBLE ACE CARGO P TY, S.A 000000000000361",,1616.00
12/27/2023,"Online Intl Wire GLOBUS TRANSITOS P GLOBUS TRANSITOS P VT LTD 000000000000363",,3935.02
12/27/2023,"Online Intl Wire PALM LOGISTICS CO. PALM LOGISTICS CO. , LTD 000000000000362",,25705.00
12/28/2023,"Deposit 000007181661570",35840.62,
12/28/2023,"Automatic Ln Paymt AUTOMATIC LOAN PAY 000000000000000",,464.58
12/28/2023,"Preauthorized Wd ECUWORLDWIDE WEBPAYMENT 231228 091000015338109",,386.08
12/28/2023,"Check 2227 000007090590480",,330.00
12/28/2023,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,28004.16
12/29/2023,"Wire Transfer-in FAMILY MARKET C.AP FAMILY MARKET C.A 000000000000009",5525.00,
12/29/2023,"Preauthorized Wd TECH CARGO LLC ACH 231229 001155370000003",,42921.00
12/29/2023,"Online Domestic Wire JMY TRADE INTERNAT JMY TRADE INTERNAT IONAL 000000000000251",,6065.07
01/02/2024,"Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 14750-14784-1 4786-14790-14792-1 4795-14844 021000029235218",72318.11,
01/02/2024,"Wire Transfer-in LOVIKTA LOGISTICS LOVIKTA LOGISTICS (PRIVATE) LIMITED 000000000000060",17976.94,
01/02/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 231229 BATCH 5487360 081000607006779",,108.50
01/02/2024,"Preauthorized Wd TECH CARGO LLC TECH CARGO 240102 001718040000028",,559.53
01/02/2024,"Preauthorized Wd TECH CARGO LLC ACH 240102 001718040000073",,8277.41
01/02/2024,"Check 2226 000007090802510",,458.00
01/02/2024,"Check 2229 000007090804230",,60.00
01/03/2024,"Deposit 000007181731820",1377.57,
01/03/2024,"Wire Transfer-in 1/EASY FREIGHT C A 1/EASY FREIGHT C A 000000000000013",10847.80,
01/03/2024,"Withdrawal 000006524384740",,1749.01
01/03/2024,"Preauthorized Wd MAERSK A/S 4370001511 RMR*IK*DIRECT DEBI T PAYMENT CONFIRMA T\RMR*IK*IO\ 111000026659401",,735.00
01/03/2024,"Preauthorized Wd MERCHANT BNKCD DISCOUNT 240103 938206002884 026008811150133",,59.85
01/03/2024,"Preauthorized Wd TECH CARGO LLC ACH 240103 001702580000010",,9525.00
01/03/2024,"Check 2230 000007056805450",,2135.00
01/03/2024,"Online Domestic Wire CYZERG LLCTD BANK, CYZERG LLC 000000000000485",,2520.27
01/04/2024,"Deposit 000007181760450",69419.82,
01/04/2024,"Preauthorized Wd CMA-CGM LLC CMA-CGM LL 240104 021214897682689",,2750.00
01/04/2024,"Preauthorized Wd MAERSK A/S 4430001392 240103 004430001392 111000022313337",,18220.00
01/04/2024,"Preauthorized Wd VISA PAYMENT 240104 091000010094770",,1000.00
01/04/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240103 BATCH 5495812 081000600329999",,1965.87
01/04/2024,"Preauthorized Wd VISA PAYMENT 240104 091000010094769",,3000.00
01/04/2024,"Preauthorized Wd TECH CARGO LLC ACH 240104 001706550000036",,47850.00
01/04/2024,"Check 2231 000007056866100",,6575.00
01/05/2024,"Wire Transfer-in ATIMAR AUTO IMPORT ATIMAR AUTO IMPORT MR SRL 000000000000203",825.00,
01/05/2024,"Preauthorized Wd NEW HORIZONS com NEWHORIZON 240105 104000012332288",,190.88
01/05/2024,"Preauthorized Wd MAERSK A/S 4260001481 RMR*IK*DIRECT DEBI T PAYMENT CONFIRMA T\RMR*IK*IO\ 111000023612984",,2781.00
01/05/2024,"Preauthorized Wd TECH CARGO LLC ACH 240105 001703410000022",,1652.60
01/05/2024,"Preauthorized Wd TECH CARGO LLC ACH 240105 001703410000059",,2455.50
01/05/2024,"Check 2225 000007091115360",,4123.33
01/05/2024,"Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMER ICAN SERVICES LLC 000000000000562",,23025.00
01/05/2024,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,201.18
01/08/2024,"Wire Transfer-in ATIMAR AUTO IMPORT ATIMAR AUTO IMPORT MR SRL 000000000000286",903.00,
01/08/2024,"Preauthorized Wd AMWINS GRP BEN INS PREMIU 240108 091000013725280",,639.87
01/08/2024,"Preauthorized Wd MAGAYA ACH 7868459150 240107 0050000372 026073186503470",,2081.16
01/09/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240108 BATCH 5513050 081000604213674",,301.23
01/10/2024,"Preauthorized Credit PAYCARGO ACHPAYMENT 240109 BATCH 5517982 081000605374505",3870.50,
01/10/2024,"Deposit 000007181872670",40825.94,
01/10/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240109 BATCH 5515697 081000605373312",,202.00
01/11/2024,"Preauthorized Wd WFS 5499897 240111 8802277 021000020313986",,155.50
01/11/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240110 BATCH 5524802 081000606510872",,175.00
01/11/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240110 BATCH 5523668 081000606503805",,1025.12
01/11/2024,"Preauthorized Wd TECH CARGO LLC ACH 240111 001713140000123",,1271.12
01/11/2024,"Preauthorized Wd TECH CARGO LLC ACH 240111 001713140000058",,8794.90
01/11/2024,"Online Intl Wire ANDASHUN GLOBAL SU ANDASHUN GLOBAL SU PPLY CHAIN(HK)LTD 000000000000482",,20015.00
01/12/2024,"Preauthorized Credit PAYCARGO ACHPAYMENT 240111 BATCH 5527888 081000607836871",1757.50,
01/12/2024,"Wire Transfer-in OMEGA TECH SAOMEGA OMEGA TECH SA 000000000000209",29100.00,
01/12/2024,"Wire Transfer-in OMEGA TECH SAOMEGA OMEGA TECH SA 000000000000210",31513.02,
01/12/2024,"Deposit 000007181932060",39420.68,
01/12/2024,"Preauthorized Wd JOHN HANCOCK MAN PAYMENT TRN*1*E26831160\ 028000083564045",,650.10
01/12/2024,"Preauthorized Wd CMA-CGM LLC CMA-CGM LL 240112 021214895997185",,9330.00
01/12/2024,"Preauthorized Wd MASS MUTUAL INS. PREMIUM 240112 021000024475431",,107.89
01/12/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240111 BATCH 5527534 081000607835699",,405.50
01/12/2024,"Preauthorized Wd TECH CARGO LLC ACH 240112 001155340000014",,450.00
01/12/2024,"Preauthorized Wd TECH CARGO LLC ACH 240112 001155340000012",,1515.00
01/12/2024,"Check 2233 000007091500250",,4801.61
01/12/2024,"Check 2234 000007091500360",,2035.00
01/12/2024,"Online Domestic Wire JMY TRADE INTERNAT JMY TRADE INTERNAT IONAL 000000000000323",,2712.48
01/12/2024,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,22923.06
01/16/2024,"Deposit 000007181975110",21440.00,
01/16/2024,"Wire Transfer-in SIAS LOGISTICS LLC SIAS LOGISTICS LLC 000000000000508",36610.39,
01/16/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240112 BATCH 5536963 081000608999467",,153.50
01/16/2024,"Preauthorized Wd TECH CARGO LLC ACH 240116 001338350000010",,278.00
01/16/2024,"Check 2232 000007057410690",,270.00
01/16/2024,"Online Domestic Wire ANOVA MARINE INSUR ANOVA MARINE INSUR ANCE SERVICES, LL 000000000000594",,2768.25
01/16/2024,"Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMER ICAN SERVICES LLC 000000000000593",,23025.00
01/16/2024,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,1129.60
01/17/2024,"Preauthorized Wd WFS 5513762 240117 0582233 021000020450114",,440.50
01/17/2024,"Preauthorized Wd XEROX FNCL. SVCS REQUIRED 240117 091000015221170",,822.08
01/17/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240116 BATCH 5543437 081000600791398",,3503.49
01/17/2024,"Preauthorized Wd TECH CARGO LLC ACH 240117 001714550000067",,35043.00
01/17/2024,"Check 2235 000007091675400",,180.00
01/18/2024,"Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A SA 000000000000478",6440.63,
01/18/2024,"Deposit 000007182014300",29749.00,
01/18/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240117 BATCH 5548138 081000602183741",,98.50
01/18/2024,"Preauthorized Wd TECH CARGO LLC ACH 240118 001713330000121",,1030.00
01/18/2024,"Preauthorized Wd TECH CARGO LLC ACH 240118 001713330000064",,2950.00
01/18/2024,"Preauthorized Wd TECH CARGO LLC ACH 240118 001713330000086",,6500.00
01/19/2024,"Maintenance Fee ANALYSIS ACTIVITY FOR 12/23 000000000000000",,264.21
01/19/2024,"Online Intl Wire PALM LOGISTICS CO. PALM LOGISTICS CO. , LTD 000000000000394",,18000.00
01/19/2024,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,197.39
01/22/2024,"Preauthorized Credit INTERLINK MARKET PAYMENT 240122 1356744 043000091934318",6625.01,
01/22/2024,"Check 2221 000007057844370",,351.50
01/23/2024,"Preauthorized Credit PAYCARGO ACHPAYMENT 240122 BATCH 5561255 081000605861187",1850.00,
01/23/2024,"Wire Transfer-in 1/C.T.I. S.R.L.UNI 1/C.T.I. S.R.L. 000000000000023",435.00,
01/23/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240122 BATCH 5563852 081000605859911",,512.00
01/23/2024,"Preauthorized Wd TECH CARGO LLC ACH 240123 001303410000003",,3345.63
01/23/2024,"Preauthorized Wd TECH CARGO LLC ACH 240123 001303410000018",,1575.00
01/23/2024,"Preauthorized Wd TECH CARGO LLC ACH 240123 001303410000020",,3259.13
01/23/2024,"Preauthorized Wd TECH CARGO LLC ACH 240123 001303410000024",,16900.00
01/23/2024,"Preauthorized Wd TECH CARGO LLC ACH 240123 001303410000021",,21600.00
01/23/2024,"Online Intl Wire RWSOLUTIONS, LIMIT RWSOLUTIONS, LIMIT ED 000000000000275",,5040.00
01/24/2024,"Deposit 000007182097280",39623.00,
01/24/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240123 BATCH 5566972 081000606867990",,605.05
01/24/2024,"Preauthorized Wd VISA PAYMENT 240124 091000013126578",,5000.00
01/24/2024,"Check 2238 000007057940100",,555.84
01/24/2024,"Check 2240 000007057950410",,2325.00
01/25/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240124 BATCH 5569885 081000607900984",,343.34
01/26/2024,"Wire Transfer-in UNITED SHIPPING HU UNITED SHIPPING HU NGARIA KFT 000000000000052",606.08,
01/26/2024,"Deposit 000007182141620",3000.00,
01/26/2024,"Deposit 000007182121810",18736.56,
01/26/2024,"Preauthorized Wd TECH CARGO LLC ACH 240126 001714560000069",,11971.13
01/26/2024,"Preauthorized Wd TECH CARGO LLC ACH 240126 001714560000076",,36503.00
01/26/2024,"Check 2237 000007092038510",,3018.75
01/26/2024,"Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMER ICAN SERVICES LLC 000000000000501",,27630.00
01/26/2024,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,21392.67
01/29/2024,"Preauthorized Credit SPACE PLUS USA L SENDER 240129 697915154 113000028731187",17740.85,
01/29/2024,"Wire Transfer-in HAITI NURSING FOUN HAITI NURSING FOUN DATION 000000000000430",3570.00,
01/29/2024,"Automatic Ln Paymt AUTOMATIC LOAN PAY 000000000000000",,480.07
01/29/2024,"Preauthorized Wd MAERSK A/S 0003366119 RMR*IK*DIRECT DEBI T PAYMENT CONFIRMA T\RMR*IK*IO\ 111000021209656",,2100.00
01/29/2024,"Preauthorized Wd TECH CARGO LLC ACH 240129 001718170000024",,23065.00
01/29/2024,"Preauthorized Wd TECH CARGO LLC ACH 240129 001718170000060",,4400.00
01/30/2024,"Deposit 000007182176760",15773.92,
01/30/2024,"Wire Transfer-in GOLD COAST CUSTOM GOLD COAST CUSTOM AND TRADING, CORP 000000000000304",20300.00,
01/30/2024,"Preauthorized Wd TECH CARGO LLC ACH 240130 001734520000036",,2000.00
01/30/2024,"Preauthorized Wd TECH CARGO LLC ACH 240130 001734520000035",,6065.07
01/31/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240130 BATCH 5587950 081000602732255",,977.28
01/31/2024,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,137.40
02/01/2024,"Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 14883 - 14965 - 14966 - 14967 - 14968 021000024296921",53655.00,
02/01/2024,"Deposit 000007182222880",30891.53,
02/01/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240131 BATCH 5591061 081000603948719",,108.50
02/01/2024,"Preauthorized Wd TECH CARGO LLC ACH 240201 001719150000101",,47850.00
02/02/2024,"Deposit 000007182246650",3426.85,
02/02/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240201 BATCH 5593734 081000605166441",,361.15
02/02/2024,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,551.18
02/05/2024,"Preauthorized Wd MERCHANT BNKCD DISCOUNT 240203 938206002884 026008818344257",,59.85
02/05/2024,"Online Domestic Wire CYZERG LLCTD BANK, CYZERG LLC 000000000000370",,2072.78
02/05/2024,"Online Intl Wire PALM LOGISTICS CO. PALM LOGISTICS CO. , LTD 000000000000369",,13400.00
02/06/2024,"Preauthorized Credit SPACE PLUS USA L SENDER 240206 699306864 113000029338168",3306.45,
02/06/2024,"Preauthorized Wd NEW HORIZONS com NEWHORIZON 240206 104000013007293",,190.88
02/06/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240205 BATCH 5605363 081000607885644",,10793.50
02/06/2024,"Preauthorized Wd TECH CARGO LLC ACH 240206 001712090000023",,260.00
02/06/2024,"Preauthorized Wd TECH CARGO LLC ACH 240206 001712090000030",,390.80
02/06/2024,"Preauthorized Wd TECH CARGO LLC ACH 240206 001712090000043",,880.00
02/06/2024,"Preauthorized Wd TECH CARGO LLC ACH 240206 001712090000041",,12055.48
02/06/2024,"Preauthorized Wd TECH CARGO LLC ACH 240206 001712090000057",,1010.00
02/06/2024,"Preauthorized Wd TECH CARGO LLC ACH 240206 001712090000131",,2455.50
02/06/2024,"Online Intl Wire MINGKUN INTERNATIO MINGKUN INTERNATIO NAL LOGISTICS LTD 000000000000433",,12335.00
02/07/2024,"Preauthorized Credit MAERSK A/S 1003019418 240207 10008100024684 111000027105324",1850.00,
02/07/2024,"Wire Transfer-in ROMEU MEXICO, S.A. ROMEU MEXICO, S.A. DE C.V. 000000000000299",150.00,
02/07/2024,"Wire Transfer-in BACKUP ENERGY SOLU BACKUP ENERGY SOLU TIONS (BES), SRL 000000000000165",3250.00,
02/07/2024,"Wire Transfer-in OMEGA TECH SAOMEGA OMEGA TECH SA 000000000000188",19400.00,
02/07/2024,"Wire Transfer-in OMEGA TECH SAOMEGA OMEGA TECH SA 000000000000187",28816.13,
02/07/2024,"Preauthorized Wd TECH CARGO LLC ACH 240207 001714320000063",,43200.00
02/08/2024,"Deposit 000007182360340",49307.00,
02/08/2024,"Preauthorized Wd AMWINS GRP BEN INS PREMIU 240208 091000015849851",,639.87
02/08/2024,"Preauthorized Wd VISA PAYMENT 240208 091000015150432",,4331.92
02/08/2024,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,28229.20
02/09/2024,"Deposit 000007182388290",14725.96,
02/09/2024,"Preauthorized Wd MAGAYA ACH 7868459150 240209 0390000105 026073186736250",,2706.16
02/09/2024,"Preauthorized Wd TECH CARGO LLC ACH 240209 001156310000060",,12075.00
02/09/2024,"Online Intl Wire GLOBALOG SABANCO B GLOBALOG SA 000000000000137",,2985.28
02/09/2024,"Online Domestic Wire ANOVA MARINE INSUR ANOVA MARINE INSUR ANCE SERVICES, LL 000000000000135",,5189.76
02/09/2024,"Online Intl Wire GLOBUS TRANSITOS P GLOBUS TRANSITOS P VT LTD 000000000000136",,12839.00
02/12/2024,"Deposit 000007182408540",4090.00,
02/12/2024,"Preauthorized Wd JOHN HANCOCK MAN PAYMENT TRN*1*E27868807\ 028000081261434",,650.10
02/12/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240209 BATCH 5621818 081000602724813",,98.50
02/12/2024,"Preauthorized Wd MASS MUTUAL INS. PREMIUM 240212 021000024217619",,107.89
02/12/2024,"Check 2241 000007058824110",,270.00
02/12/2024,"Check 2243 000007058809080",,800.00
02/13/2024,"Preauthorized Credit INTERLINK MARKET PAYMENT 240213 1450726 043000098545316",6101.97,
02/13/2024,"Preauthorized Wd MAERSK A/S 4330001905 RMR*IK*DIRECT DEBI T PAYMENT CONFIRMA T\RMR*IK*IO\ 111000023175366",,2378.00
02/13/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240212 BATCH 5625606 081000604044329",,9513.50
02/14/2024,"Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 14995 - 14996 - 15029 - 15042 - 15047 - 15054 021000021249705",70423.63,
02/14/2024,"Wire Transfer-in LOVIKTA LOGISTICS LOVIKTA LOGISTICS (PRIVATE) LIMITED 000000000000040",7656.79,
02/14/2024,"Preauthorized Wd MAERSK A/S 4330001883 RMR*IK*DIRECT DEBI T PAYMENT CONFIRMA T\RMR*IK*IO\ 111000024874148",,905.00
02/14/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240213 BATCH 5632378 081000605121890",,1965.44
02/14/2024,"Preauthorized Wd TECH CARGO LLC ACH 240214 001713370000028",,150.00
02/14/2024,"Preauthorized Wd TECH CARGO LLC ACH 240214 001713370000085",,3526.54
02/14/2024,"Preauthorized Wd TECH CARGO LLC ACH 240214 001713370000041",,9132.00
02/14/2024,"Preauthorized Wd TECH CARGO LLC ACH 240214 001713370000098",,750.00
02/15/2024,"Deposit 000007182478310",68765.00,
02/15/2024,"Preauthorized Wd MAERSK A/S 4360001919 240214 004360001919 111000024327649",,6747.00
02/15/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240214 BATCH 5634663 081000606301431",,1571.30
02/15/2024,"Preauthorized Wd VISA PAYMENT 240215 091000012058163",,3000.00
02/15/2024,"Preauthorized Wd TECH CARGO LLC ACH 240215 001155320000071",,350.00
02/15/2024,"Preauthorized Wd TECH CARGO LLC ACH 240215 001155320000045",,25800.00
02/15/2024,"Check 2242 000007059055830",,14724.00
02/15/2024,"Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMER ICAN SERVICES LLC 000000000000290",,27931.00
02/16/2024,"Preauthorized Credit SPACE PLUS USA L SENDER 240216 702001066 113000029936027",14854.25,
02/16/2024,"Wire Transfer-in 1/SUPRICOMSABANCO 1/SUPRICOMSA 000000000000310",1725.00,
02/16/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240215 BATCH 5638148 081000607578479",,213.50
02/16/2024,"Preauthorized Wd TECH CARGO LLC ACH 240216 001152520000041",,1910.00
02/16/2024,"Preauthorized Wd TECH CARGO LLC ACH 240216 001152520000052",,10675.00
02/16/2024,"Check 2244 000007093045930",,3219.00
02/16/2024,"Online Intl Wire MI-GLOBAL S.L.REVO MI-GLOBAL S.L. 000000000000346",,1990.00
02/16/2024,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,201.18
02/20/2024,"Deposit 000007182535920",30164.05,
02/20/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240216 BATCH 5644124 081000608773657",,223.50
02/20/2024,"Preauthorized Wd MAERSK A/S 4390002059 240220 004390002059 111000023892488",,23793.00
02/20/2024,"Check 2245 000007059079940",,4500.00
